,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
344,Palmerston,-12.49,130.98,77.0,94,4,2.91,AU,fog
345,Kentau,43.52,68.51,68.9,25,54,10.74,KZ,broken clouds
346,Dunedin,-45.87,170.5,51.01,84,74,1.99,NZ,broken clouds
347,Dekar,-21.53,21.93,54.39,40,2,8.3,BW,clear sky
348,Cabedelo,-6.98,-34.83,75.2,83,75,6.93,BR,broken clouds
349,Berlevag,70.86,29.09,57.2,87,75,10.29,NO,broken clouds
350,Comodoro Rivadavia,-45.87,-67.5,62.6,48,0,5.82,AR,clear sky
351,Morozovsk,48.35,41.83,66.29,45,94,9.42,RU,overcast clouds
352,San Pedro,14.35,121.02,79.0,94,50,2.24,PH,scattered clouds
353,Awjilah,29.11,21.29,76.59,67,0,10.87,LY,clear sky
354,Sandane,61.77,6.21,59.0,94,97,4.0,NO,light rain
355,Beyneu,45.32,55.2,74.97,47,100,14.45,KZ,overcast clouds
356,Idah,7.11,6.73,72.77,97,100,2.75,NG,light rain
357,Coffs Harbour,-30.3,153.13,62.01,51,1,5.82,AU,clear sky
358,Ketchikan,55.34,-131.65,57.2,93,90,3.36,US,overcast clouds
359,Tasiilaq,65.61,-37.64,46.4,52,10,6.93,GL,clear sky
360,Birjand,32.87,59.22,69.8,19,0,6.93,IR,clear sky
361,Batagay-Alyta,67.8,130.41,37.35,78,97,5.61,RU,overcast clouds
362,Chauk,20.88,94.82,76.1,89,83,7.27,MM,broken clouds
363,San Francisco,37.77,-122.42,78.8,60,40,28.86,US,smoke
364,Pundaguitan,6.37,126.17,80.04,84,100,9.86,PH,light rain
365,Takaka,-40.85,172.8,54.0,90,1,1.99,NZ,clear sky
366,Port Hardy,50.7,-127.42,62.6,88,90,5.82,CA,light rain
367,Kapit,2.02,112.93,74.46,92,44,0.98,MY,scattered clouds
368,Gigmoto,13.78,124.39,82.56,83,96,9.8,PH,overcast clouds
369,Yeppoon,-23.13,150.73,59.0,51,0,1.12,AU,clear sky
370,Sembe,1.65,14.58,71.53,90,2,2.13,CG,light rain
371,Bosaso,11.28,49.18,91.67,42,90,18.99,SO,overcast clouds
372,Byron Bay,-28.65,153.62,57.99,54,49,6.93,AU,scattered clouds
373,Salalah,17.02,54.09,77.0,100,75,4.7,OM,broken clouds
374,Saint Marys,30.73,-81.55,82.4,83,1,5.82,US,clear sky
375,Buchanan,5.88,-10.05,77.0,94,75,8.9,LR,broken clouds
376,Onega,63.91,38.14,58.08,85,0,3.4,RU,clear sky
377,Prince Rupert,54.32,-130.32,59.0,93,90,2.24,CA,light rain
378,Izhma,65.01,53.91,49.84,94,88,6.6,RU,overcast clouds
379,Inuvik,68.35,-133.72,64.4,59,20,9.17,CA,few clouds
380,Fairbanks,64.84,-147.72,60.8,72,20,2.33,US,few clouds
381,San Luis,-33.3,-66.34,48.27,42,0,3.0,AR,clear sky
382,Grindavik,63.84,-22.43,51.8,71,0,14.99,IS,clear sky
383,Acapulco,16.86,-99.89,86.0,70,40,9.17,MX,scattered clouds
384,Sorong,-0.88,131.25,78.51,83,56,6.06,ID,broken clouds
385,Husavik,66.04,-17.34,44.6,87,20,9.17,IS,few clouds
386,Giyani,-23.3,30.72,61.5,63,98,9.89,ZA,overcast clouds
387,Fukue,32.69,128.84,83.48,81,1,14.74,JP,light rain
388,Laredo,27.51,-99.51,102.2,27,1,9.17,US,clear sky
389,Mamallapuram,12.63,80.17,82.4,83,40,6.93,IN,mist
390,Mangrol,21.12,70.12,81.43,86,100,14.72,IN,overcast clouds
391,Port-Gentil,-0.72,8.78,75.2,83,20,10.29,GA,few clouds
392,Chandla,25.08,80.2,77.86,90,93,7.47,IN,overcast clouds
393,Otjimbingwe,-22.35,16.13,56.35,28,41,9.04,NA,scattered clouds
394,Kamennogorsk,60.95,29.13,60.01,72,20,2.24,RU,few clouds
395,Fare,-16.7,-151.02,77.72,79,2,24.18,PF,clear sky
396,Kijang,35.24,129.21,78.8,74,40,8.05,KR,scattered clouds
397,Kondinskoye,59.65,67.41,52.2,97,42,8.05,RU,scattered clouds
398,Ponta Delgada,37.73,-25.67,71.6,88,20,5.82,PT,few clouds
399,Grenada,37.19,-3.61,77.0,33,0,1.59,ES,clear sky
400,Nome,64.5,-165.41,55.0,81,90,6.93,US,overcast clouds
401,Ambovombe,-25.17,46.08,65.23,77,98,12.53,MG,overcast clouds
402,Neuquen,-38.95,-68.06,66.2,42,0,5.3,AR,clear sky
403,Itanhem,-17.17,-40.33,67.93,90,34,8.57,BR,scattered clouds
404,Soyo,-6.13,12.37,72.39,88,38,6.04,AO,scattered clouds
405,Ukiah,39.15,-123.21,93.2,34,1,12.75,US,clear sky
406,Anupgarh,29.19,73.21,89.46,58,28,9.91,IN,scattered clouds
407,Trani,41.27,16.42,75.0,49,0,4.7,IT,clear sky
408,Aykhal,66.0,111.5,46.4,65,98,6.71,RU,overcast clouds
409,Pochutla,15.74,-96.47,87.01,74,75,5.17,MX,broken clouds
410,Murgab,37.5,61.97,75.2,33,0,9.17,TM,clear sky
411,Barguzin,53.62,109.62,60.01,70,66,6.22,RU,broken clouds
412,Itupiranga,-5.13,-49.33,84.2,51,20,2.86,BR,few clouds
413,Mehamn,71.04,27.85,57.2,87,75,10.29,NO,broken clouds
414,Bandarbeyla,9.49,50.81,76.05,79,99,30.67,SO,overcast clouds
415,Port Lincoln,-34.73,135.87,50.77,63,13,20.4,AU,few clouds
416,Vilhena,-12.74,-60.15,55.4,71,53,13.87,BR,broken clouds
417,Ellensburg,47.0,-120.55,84.2,32,75,19.46,US,broken clouds
418,Fortuna,40.6,-124.16,77.0,18,23,7.0,US,few clouds
419,Karratha,-20.74,116.85,70.47,29,0,10.78,AU,clear sky
420,Coracora,-15.03,-73.78,50.83,48,64,5.55,PE,broken clouds
421,Hamilton,39.18,-84.53,82.99,61,40,5.82,US,scattered clouds
422,Kysyl-Syr,63.9,122.76,46.89,62,0,7.11,RU,clear sky
423,Swan River,52.11,-101.27,61.93,91,100,13.85,CA,light rain
424,Vila,42.03,-8.16,57.99,87,0,0.38,PT,clear sky
425,Amazar,53.86,120.88,60.44,80,100,1.77,RU,overcast clouds
426,Kualakapuas,-3.01,114.39,77.0,94,20,3.36,ID,few clouds
427,Gambela,8.25,34.58,71.15,85,100,3.65,ET,overcast clouds
428,Terenos,-20.44,-54.86,48.2,81,75,4.7,BR,broken clouds
429,Mugumu,-1.85,34.7,64.49,66,69,5.46,TZ,broken clouds
430,Sulangan,11.14,123.72,83.5,76,75,6.85,PH,broken clouds
431,Bud,39.45,-86.18,80.6,47,1,3.38,US,clear sky
432,Katobu,-4.94,122.53,75.38,80,0,2.84,ID,clear sky
433,Mahina,-17.51,-149.49,82.4,69,40,11.41,PF,scattered clouds
434,Port Hawkesbury,45.62,-61.35,64.99,82,90,4.7,CA,overcast clouds
435,Harper,4.38,-7.72,75.51,84,93,8.79,LR,overcast clouds
436,Rauma,61.13,21.51,62.6,88,95,8.05,FI,overcast clouds
437,Maumere,-8.62,122.21,77.79,64,0,2.62,ID,clear sky
438,Kokorevka,52.59,34.28,54.54,98,91,4.14,RU,overcast clouds
439,Zunyi,27.69,106.91,68.38,94,93,3.22,CN,overcast clouds
440,Loanda,-8.84,13.23,71.6,88,75,5.82,AO,broken clouds
441,Gweru,-19.45,29.82,55.6,85,70,12.71,ZW,broken clouds
442,Coihaique,-45.58,-72.07,48.2,61,20,2.24,CL,few clouds
443,Egvekinot,66.32,-179.17,46.0,96,100,6.17,RU,moderate rain
444,Manado,1.49,124.85,75.2,88,20,1.12,ID,few clouds
445,Alekseyevsk,57.84,108.35,60.49,59,100,2.26,RU,overcast clouds
446,Chapada Dos Guimaraes,-15.46,-55.75,60.8,55,36,11.41,BR,smoke
447,Tambopata,-12.73,-69.18,55.6,59,97,4.21,PE,overcast clouds
448,Rosario,-32.95,-60.64,61.0,30,0,8.05,AR,clear sky
449,Lucea,18.45,-78.17,90.0,74,40,20.8,JM,thunderstorm
450,Grojdibodu,43.75,24.27,69.8,64,5,4.7,RO,clear sky
451,Langsa,4.47,97.97,74.93,93,100,3.51,ID,light rain
452,Tezu,27.92,96.17,75.7,76,54,1.81,IN,light rain
453,Taybad,34.74,60.78,70.72,25,0,8.01,IR,clear sky
454,Benalla,-36.55,145.98,41.0,93,90,18.34,AU,overcast clouds
455,Bathsheba,13.22,-59.52,84.2,79,40,16.11,BB,shower rain
456,Sibu,2.3,111.82,77.0,94,40,2.04,MY,scattered clouds
457,Conde,-7.26,-34.91,75.2,83,75,6.93,BR,broken clouds
458,Port Augusta,-32.5,137.77,43.0,87,53,10.29,AU,broken clouds
459,Chippewa Falls,44.94,-91.39,86.0,42,20,10.29,US,few clouds
460,Itarema,-2.92,-39.92,77.99,84,3,12.53,BR,clear sky
461,Bundaberg,-24.85,152.35,68.0,48,0,5.82,AU,clear sky
462,Solnechnyy,50.72,136.63,65.35,59,68,3.89,RU,broken clouds
463,Kahului,20.89,-156.47,87.8,55,40,23.04,US,scattered clouds
464,Nemuro,43.32,145.57,61.72,74,80,3.15,JP,broken clouds
465,Provideniya,64.38,-173.3,49.96,89,100,9.84,RU,light rain
466,Bubaque,11.28,-15.83,79.9,83,97,16.31,GW,light rain
467,Qasigiannguit,68.82,-51.19,48.2,45,45,2.24,GL,scattered clouds
468,Ilhabela,-23.78,-45.36,59.41,85,100,10.25,BR,moderate rain
469,Vao,-22.67,167.48,71.19,74,29,7.45,NC,scattered clouds
470,Gornozavodsk,58.38,58.32,47.64,95,69,4.97,RU,broken clouds
471,Salinopolis,-0.61,-47.36,78.82,86,9,12.73,BR,light rain
472,Mandalgovi,45.76,106.27,56.66,90,62,6.02,MN,broken clouds
473,Udayagiri,20.13,84.38,70.45,97,90,2.68,IN,overcast clouds
474,Plettenberg Bay,-34.05,23.37,58.19,62,55,2.66,ZA,broken clouds
475,Hofn,64.25,-15.21,48.94,60,0,21.79,IS,clear sky
476,Westport,41.14,-73.36,80.01,71,71,11.25,US,broken clouds
477,Pontianak,-0.03,109.33,76.01,94,91,2.04,ID,light rain
478,Yarkovo,57.4,67.08,50.79,98,71,5.1,RU,broken clouds
479,Guigue,10.09,-67.78,75.16,86,81,5.59,VE,moderate rain
480,Tual,-5.67,132.75,79.34,84,28,18.48,ID,light rain
481,Naco,31.33,-109.95,91.4,26,1,14.99,MX,clear sky
482,Trairi,-3.28,-39.27,77.92,84,1,12.08,BR,clear sky
483,Tuatapere,-46.13,167.68,51.01,96,19,5.01,NZ,few clouds
484,Ambilobe,-13.2,49.05,65.14,83,46,3.98,MG,scattered clouds
485,Santa Rosa,14.31,121.11,79.0,94,48,2.24,PH,scattered clouds
486,Batsfjord,70.63,29.72,53.6,100,75,8.05,NO,light intensity drizzle
487,Qui Nhon,13.77,109.23,77.16,82,63,5.21,VN,broken clouds
488,Buala,-8.14,159.59,84.34,69,95,5.3,SB,overcast clouds
489,Toba,34.48,136.85,84.0,81,0,3.0,JP,clear sky
490,Kruszwica,52.68,18.33,73.0,57,1,8.61,PL,clear sky
491,Rocha,-34.48,-54.33,43.36,77,0,5.41,UY,clear sky
492,Christchurch,-43.53,172.63,51.01,100,1,2.24,NZ,mist
493,Sisophon,13.59,102.97,76.42,91,100,4.72,KH,overcast clouds
494,Carutapera,-1.2,-46.02,77.97,85,17,7.4,BR,few clouds
495,Azangaro,-14.92,-70.22,62.6,7,20,11.41,PE,few clouds
496,Rurrenabaque,-14.44,-67.53,55.81,56,96,2.66,BO,overcast clouds
497,Zhangye,38.93,100.45,71.22,50,95,1.9,CN,overcast clouds
498,Brae,60.4,-1.35,55.4,100,72,6.93,GB,broken clouds
499,Sawakin,19.11,37.33,92.26,46,41,5.86,SD,scattered clouds
500,Tautira,-17.73,-149.15,82.4,69,40,11.41,PF,scattered clouds
501,Walvis Bay,-22.96,14.51,71.6,7,40,18.34,NA,scattered clouds
502,Turayf,31.67,38.66,73.4,69,0,11.41,SA,clear sky
503,Lundazi,-12.29,33.18,62.24,72,0,9.26,ZM,clear sky
504,Cairns,-16.92,145.77,70.0,77,54,5.1,AU,broken clouds
505,Vera Cruz,-12.63,-41.03,70.9,71,29,7.16,BR,scattered clouds
506,Potam,27.6,-110.38,93.2,41,40,11.41,MX,scattered clouds
507,Rimbey,52.63,-114.24,73.4,53,40,10.29,CA,scattered clouds
508,Skjervoy,70.03,20.97,56.39,82,76,5.1,NO,broken clouds
509,Hornepayne,49.21,-84.77,73.22,60,73,6.67,CA,broken clouds
510,Severnyy,50.68,36.55,57.2,93,75,6.71,RU,light intensity shower rain
511,Naze,28.37,129.48,84.2,83,20,1.12,JP,few clouds
512,Cumana,10.46,-64.18,77.0,94,99,5.82,VE,moderate rain
513,El Tigre,8.89,-64.25,73.74,92,100,7.83,VE,light rain
514,Kalabo,-14.97,22.68,71.38,33,91,8.14,ZM,overcast clouds
515,Abu Kamal,34.45,40.92,78.75,41,0,11.03,SY,clear sky
516,Anori,-3.77,-61.64,85.35,42,0,2.57,BR,clear sky
517,Ariquemes,-9.91,-63.04,66.45,48,20,5.97,BR,few clouds
518,At-Bashi,41.17,75.81,47.97,52,0,0.85,KG,clear sky
519,Divnogorsk,55.96,92.36,57.2,93,75,4.47,RU,broken clouds
520,Atar,20.52,-13.05,89.2,42,22,5.01,MR,few clouds
521,Calatayud,41.35,-1.64,77.0,88,0,1.16,ES,clear sky
522,Tlapehuala,18.22,-100.52,85.6,66,27,0.54,MX,scattered clouds
523,Fengcheng,40.45,124.07,70.59,89,80,3.38,CN,broken clouds
524,Pallisa,1.15,33.71,66.34,89,92,3.44,UG,overcast clouds
525,Boralday,43.36,76.86,60.8,48,20,6.71,KZ,few clouds
526,Arlit,18.74,7.39,96.6,23,14,10.02,NE,few clouds
527,Paidha,2.42,30.99,62.38,89,76,4.45,UG,broken clouds
528,Buba,11.58,-15.0,75.38,93,99,6.26,GW,light rain
529,Uchiza,-8.46,-76.46,72.36,84,83,0.98,PE,light rain
530,Acajutla,13.59,-89.83,84.2,70,40,2.24,SV,scattered clouds
531,Kendari,-3.94,122.5,76.01,84,75,2.35,ID,broken clouds
532,Tynda,55.17,124.72,57.88,77,30,1.5,RU,scattered clouds
533,Presidencia Roque Saenz Pena,-26.79,-60.44,48.67,46,0,5.14,AR,clear sky
534,Bogande,12.97,-0.14,75.96,85,100,12.66,BF,overcast clouds
535,Coleraine,55.13,-6.67,59.0,87,40,9.17,GB,scattered clouds
536,Road Town,18.42,-64.62,82.99,93,54,5.99,VG,broken clouds
537,Thaba-Tseka,-29.52,28.61,34.03,73,0,3.69,LS,clear sky
538,Sitio Novo Do Tocantins,-5.52,-47.46,84.49,31,78,4.12,BR,broken clouds
539,Saint-Leu,-21.15,55.28,66.2,55,0,8.05,RE,clear sky
540,Nantai,40.92,122.8,67.24,83,3,1.34,CN,clear sky
541,Asau,46.43,26.4,63.0,90,1,3.71,RO,clear sky
542,Roros,62.57,11.38,60.8,77,100,20.8,NO,light rain
543,Zhezkazgan,47.8,67.71,61.97,34,52,5.84,KZ,broken clouds
544,Yar-Sale,66.83,70.83,53.02,91,83,8.68,RU,broken clouds
545,Zhanakorgan,43.91,67.25,68.25,28,71,5.7,KZ,broken clouds
546,Aviles,43.55,-5.92,64.4,88,20,3.09,ES,few clouds
547,Eydhafushi,5.1,73.07,81.54,73,39,2.86,MV,scattered clouds
548,Zaysan,47.47,84.87,58.69,43,0,6.6,KZ,clear sky
549,Roald,62.58,6.13,62.01,100,86,6.93,NO,light rain
550,Uyar,55.81,94.32,54.48,85,83,4.47,RU,light rain
551,Volterra,43.4,10.86,78.01,81,0,3.0,IT,clear sky
552,Batala,31.82,75.2,75.2,94,40,3.4,IN,mist
553,Ormara,25.21,64.64,83.48,80,100,9.06,PK,overcast clouds
554,Tucumcari,35.17,-103.72,88.57,27,16,7.67,US,light rain
555,Srednekolymsk,67.45,153.68,42.85,65,100,15.14,RU,overcast clouds
556,Longyearbyen,78.22,15.64,42.01,78,90,2.26,SJ,overcast clouds
557,Gat,31.61,34.76,78.01,79,1,3.44,IL,clear sky
558,Dossor,47.53,52.98,68.14,33,100,11.97,KZ,overcast clouds
559,Elizabeth City,36.29,-76.25,82.4,69,1,9.17,US,clear sky
560,Jaunjelgava,56.62,25.08,62.01,84,82,3.0,LV,broken clouds
561,Lima,-12.04,-77.03,60.8,82,90,4.7,PE,overcast clouds
562,Witu,-2.39,40.44,74.17,84,46,10.25,KE,scattered clouds
563,Nerja,36.76,-3.89,82.0,84,0,3.33,ES,clear sky
564,Sarangani,5.4,125.46,78.31,83,100,5.41,PH,light rain
565,Porto Novo,6.5,2.6,77.0,88,20,8.05,BJ,few clouds
566,Marystown,47.17,-55.15,60.94,76,92,11.18,CA,overcast clouds
567,Burnie,-41.07,145.92,45.0,77,16,8.99,AU,few clouds
568,Geraldton,-28.77,114.6,57.2,71,90,5.82,AU,overcast clouds
569,Kavaratti,10.57,72.64,81.55,80,100,12.55,IN,light rain
570,Erzin,36.96,36.2,75.0,86,49,5.99,TR,light rain
571,Necochea,-38.55,-58.74,46.0,85,0,5.99,AR,clear sky
572,Puerto Leguizamo,-0.19,-74.78,75.34,95,28,2.89,CO,light rain
573,Palmer,42.16,-72.33,86.0,33,40,11.41,US,scattered clouds
574,Morondava,-20.28,44.28,72.68,71,51,10.89,MG,broken clouds
575,Grand Gaube,-20.01,57.66,69.01,74,25,5.99,MU,scattered clouds
576,Tohana,29.7,75.9,77.74,88,9,6.11,IN,moderate rain
577,Thinadhoo,0.53,72.93,83.66,68,61,5.57,MV,broken clouds
578,Kurchatov,51.66,35.65,55.0,91,100,4.0,RU,light rain
579,Dolgorukovo,52.32,38.35,54.72,65,85,5.95,RU,overcast clouds
580,Pacifica,37.61,-122.49,77.0,82,90,16.42,US,overcast clouds
581,Lalmohan,22.34,90.74,79.18,91,100,10.38,BD,heavy intensity rain
582,San Policarpo,12.18,125.51,82.18,81,63,7.54,PH,broken clouds
583,Palauig,15.44,119.9,82.27,77,98,7.38,PH,light rain
584,Marrakesh,31.63,-8.01,89.6,29,20,5.82,MA,few clouds
585,Zalantun,48.0,122.72,61.57,70,67,2.93,CN,broken clouds
586,Sobolevo,54.43,31.9,51.39,96,38,3.71,RU,scattered clouds
587,Santa Marta,11.24,-74.2,87.01,74,44,1.99,CO,light rain
588,Shache,38.42,77.24,66.49,48,0,7.25,CN,clear sky
589,Concord,37.98,-122.03,96.01,32,1,12.75,US,smoke
590,Mbanza-Ngungu,-5.25,14.87,72.68,69,79,7.49,CD,broken clouds
591,Dakar,14.69,-17.44,80.6,83,40,9.17,SN,scattered clouds
592,Zhigansk,66.77,123.37,40.68,70,0,17.83,RU,clear sky
593,Bolu,40.67,31.58,57.04,80,0,0.76,TR,clear sky
594,Kyren,51.68,102.14,57.0,79,46,1.05,RU,scattered clouds
595,Nouakchott,18.09,-15.98,87.8,66,20,5.82,MR,few clouds
596,Katangli,51.71,143.23,60.58,73,0,12.08,RU,clear sky
597,Svay Rieng,11.09,105.8,78.15,89,35,5.03,KH,scattered clouds
598,Kushmurun,52.45,64.63,54.73,89,100,4.92,KZ,overcast clouds
599,Svetlogorsk,52.63,29.73,58.51,94,41,6.73,BY,scattered clouds
600,Ostrovnoy,68.05,39.51,54.23,90,71,6.11,RU,broken clouds
601,Opuwo,-18.06,13.84,51.75,39,39,5.23,NA,scattered clouds
602,Tilichiki,60.47,166.1,52.65,81,95,6.08,RU,overcast clouds
603,Ibadan,7.39,3.9,71.53,97,100,3.11,NG,overcast clouds
604,Takoradi,4.88,-1.76,74.37,92,15,7.72,GH,few clouds
605,Kutum,14.2,24.67,74.62,66,48,4.83,SD,scattered clouds
606,Kulachi,31.93,70.46,90.68,55,86,11.63,PK,overcast clouds
607,Zaoyang,32.13,112.75,70.57,96,65,3.74,CN,light rain
608,Coahuayana,18.73,-103.68,80.6,78,75,11.41,MX,broken clouds
609,Azua,18.45,-70.73,83.59,70,90,3.83,DO,light rain
610,Cienfuegos,22.15,-80.44,87.8,74,28,9.17,CU,light rain
611,Khash,28.22,61.22,68.02,40,10,3.13,IR,clear sky
612,Nova Ushytsya,48.84,27.27,63.0,87,21,3.0,UA,few clouds
613,Ayagoz,47.97,80.44,58.26,48,0,10.04,KZ,clear sky
614,Besikduzu,41.05,39.23,71.6,73,75,6.93,TR,broken clouds
615,Agadir,30.42,-9.6,69.8,83,0,5.82,MA,clear sky
616,Omboue,-1.57,9.26,74.34,78,94,6.6,GA,overcast clouds
617,San Jeronimo,-11.95,-75.28,56.16,54,89,4.07,PE,light rain
618,Cockburn Town,21.46,-71.14,86.0,70,40,11.41,TC,scattered clouds
619,Alofi,-19.06,-169.92,80.6,74,18,11.41,NU,few clouds
620,Gondanglegi,-7.75,112.01,72.9,84,86,5.1,ID,overcast clouds
621,San Julian,21.02,-102.17,72.64,62,16,2.55,MX,few clouds
622,Macaubas,-13.02,-42.7,76.32,44,64,10.65,BR,broken clouds
623,Sochi,43.6,39.73,68.0,82,20,8.95,RU,thunderstorm
624,Taoudenni,22.68,-3.98,103.01,9,36,9.1,ML,scattered clouds
625,Guiratinga,-16.35,-53.76,62.82,56,31,7.92,BR,scattered clouds
626,Roxana,10.28,-83.75,66.99,93,90,9.17,CR,moderate rain
627,Canutama,-6.53,-64.38,79.16,44,0,4.61,BR,clear sky
628,Kosh-Agach,50.0,88.67,46.76,77,96,3.11,RU,light rain
629,Plouzane,48.38,-4.62,62.6,93,90,16.11,FR,overcast clouds
630,Mpraeso,6.59,-0.73,69.08,100,84,3.02,GH,broken clouds
631,Jasper,37.2,-94.35,87.8,40,1,9.17,US,clear sky
632,Sebeta,8.92,38.62,55.67,86,59,0.2,ET,broken clouds
633,Barcelona,41.39,2.16,82.0,83,20,3.36,ES,few clouds
634,Hays,30.05,-98.03,100.0,30,77,1.99,US,broken clouds
635,Benemerito De Las Americas,16.52,-90.64,90.46,53,0,1.57,MX,clear sky
636,Uitenhage,-33.76,25.4,51.01,93,75,3.36,ZA,broken clouds
637,Stornoway,58.21,-6.39,57.0,100,1,4.7,GB,clear sky
638,Wageningen,51.97,5.67,64.99,88,20,5.66,NL,few clouds
639,Tromso,69.65,18.96,50.0,87,52,26.4,NO,broken clouds
640,North Bend,43.41,-124.22,75.99,73,90,12.75,US,overcast clouds
641,Boffa,10.17,-14.03,75.76,92,100,3.76,GN,light rain
642,Akyab,20.15,92.9,79.52,85,100,3.29,MM,moderate rain
643,Sao Felix Do Xingu,-6.64,-51.99,81.63,28,46,0.27,BR,scattered clouds
644,Olhao,37.03,-7.84,78.8,54,0,9.17,PT,clear sky
645,Thunder Bay,48.4,-89.32,73.4,69,20,11.41,CA,few clouds
646,Tarauaca,-8.16,-70.77,63.18,75,100,4.59,BR,overcast clouds
647,Altona,53.55,9.93,71.01,77,90,8.05,DE,overcast clouds
648,Mareeba,-17.0,145.43,72.0,74,13,2.28,AU,few clouds
649,Great Yarmouth,52.61,1.73,66.0,83,3,8.01,GB,clear sky
650,Mwembe,-4.15,37.85,61.7,89,47,1.12,TZ,scattered clouds
651,Hami,42.8,93.45,75.29,25,70,4.12,CN,broken clouds
652,Barcelos,41.54,-8.62,66.0,93,0,3.36,PT,clear sky
653,Brownsville,25.9,-97.5,95.0,36,1,10.29,US,clear sky
654,Moranbah,-22.0,148.05,67.37,28,0,12.37,AU,clear sky
655,Umm Lajj,25.02,37.27,84.13,68,0,6.13,SA,clear sky
656,Eyl,7.98,49.82,76.71,72,96,22.28,SO,overcast clouds
657,Dergachi,51.23,48.77,54.48,84,0,8.14,RU,clear sky
658,Mairi,-11.71,-40.15,70.2,81,35,10.54,BR,scattered clouds
659,Broome,42.25,-75.83,80.01,47,75,3.71,US,broken clouds
660,Kaz,52.91,87.31,52.3,91,99,2.01,RU,overcast clouds
661,San Quintin,30.48,-115.95,81.34,59,95,3.51,MX,moderate rain
662,Kloulklubed,7.04,134.26,75.2,94,75,9.8,PW,broken clouds
663,Baruun-Urt,46.68,113.28,62.02,49,100,3.36,MN,overcast clouds
664,Portlethen,57.05,-2.13,59.0,82,59,2.24,GB,broken clouds
665,Tuscaloosa,33.21,-87.57,77.0,88,75,5.82,US,heavy intensity rain
666,Gwadar,25.12,62.33,82.13,83,100,7.16,PK,overcast clouds
667,Kulhudhuffushi,6.62,73.07,82.44,71,84,3.91,MV,broken clouds
668,Angoche,-16.23,39.91,73.65,74,41,11.72,MZ,scattered clouds
669,Khasan,42.43,130.64,66.22,62,57,2.06,RU,broken clouds
670,Abja-Paluoja,58.13,25.35,63.0,77,98,1.99,EE,overcast clouds
671,Eenhana,-17.47,16.33,59.0,15,63,4.7,NA,broken clouds
672,Beloha,-25.17,45.05,60.46,81,25,7.65,MG,scattered clouds
673,Kjollefjord,70.95,27.35,57.2,87,75,10.29,NO,broken clouds
674,Inzhavino,52.32,42.49,52.57,71,15,4.97,RU,few clouds
675,Kailua,21.4,-157.74,87.8,65,75,12.75,US,broken clouds
676,Yuli,9.7,10.27,71.02,91,70,1.68,NG,broken clouds
677,Xining,36.62,101.77,57.76,80,92,2.48,CN,overcast clouds
678,College,64.86,-147.8,60.8,72,75,2.46,US,broken clouds
679,Pierre,44.37,-100.35,93.2,38,1,9.17,US,clear sky
680,Rorvik,64.86,11.24,65.52,69,79,24.02,NO,broken clouds
681,Nkhotakota,-12.93,34.3,72.19,67,78,9.73,MW,light rain
682,Soe,-9.86,124.28,68.52,63,1,4.05,ID,clear sky
683,Nsunga,-1.14,31.39,69.8,83,75,5.82,TZ,broken clouds
684,Inhambane,-23.86,35.38,63.79,79,25,10.92,MZ,scattered clouds
685,Yilan,24.76,121.75,84.0,83,20,10.29,TW,moderate rain
686,Rosetta,31.4,30.42,78.8,69,40,13.87,EG,scattered clouds
687,Lorengau,-2.02,147.27,85.6,65,34,10.38,PG,scattered clouds
688,Ryotsu,38.08,138.43,75.2,94,75,1.12,JP,broken clouds
689,Cap Malheureux,-19.98,57.61,69.01,76,18,3.0,MU,few clouds
690,Pinega,64.7,43.39,54.52,95,98,4.29,RU,overcast clouds
691,Tamale,9.4,-0.84,74.34,94,100,1.41,GH,light rain
